2025-11-30 16:30:36 UTC | himanshu1001 | login_success | /login | User logged in
2025-11-30 16:30:44 UTC | himanshu1001 | navigate | /comparison | GET request
2025-11-30 16:30:44 UTC | himanshu1001 | navigate | /metrics_json | GET request
2025-11-30 16:30:44 UTC | himanshu1001 | navigate | /gc_distribution_data | GET request
2025-11-30 16:30:44 UTC | himanshu1001 | navigate | /kmer_heatmap_data | GET request
2025-11-30 16:30:44 UTC | himanshu1001 | navigate | /embedding_pca_data | GET request
2025-11-30 16:30:44 UTC | himanshu1001 | navigate | /correlation_heatmap_data | GET request
2025-12-07 14:33:32 UTC | himanshu1001 | login_success | /login | User logged in
2025-12-07 14:33:35 UTC | himanshu1001 | navigate | /comparison | GET request
2025-12-07 14:33:35 UTC | himanshu1001 | navigate | /metrics_json | GET request
2025-12-07 14:33:35 UTC | himanshu1001 | navigate | /kmer_heatmap_data | GET request
2025-12-07 14:33:35 UTC | himanshu1001 | navigate | /embedding_pca_data | GET request
2025-12-07 14:33:35 UTC | himanshu1001 | navigate | /gc_distribution_data | GET request
2025-12-07 14:33:36 UTC | himanshu1001 | navigate | /correlation_heatmap_data | GET request
2025-12-07 14:36:14 UTC | himanshu1001 | navigate | /comparison | GET request
2025-12-07 14:36:14 UTC | himanshu1001 | navigate | /metrics_json | GET request
2025-12-07 14:36:14 UTC | himanshu1001 | navigate | /kmer_heatmap_data | GET request
2025-12-07 14:36:14 UTC | himanshu1001 | navigate | /gc_distribution_data | GET request
2025-12-07 14:36:14 UTC | himanshu1001 | navigate | /embedding_pca_data | GET request
2025-12-07 14:36:15 UTC | himanshu1001 | navigate | /correlation_heatmap_data | GET request
2025-12-07 14:41:42 UTC | himanshu1001 | navigate | /comparison | GET request
2025-12-07 14:41:42 UTC | himanshu1001 | navigate | /metrics_json | GET request
2025-12-07 14:41:42 UTC | himanshu1001 | navigate | /gc_distribution_data | GET request
2025-12-07 14:41:42 UTC | himanshu1001 | navigate | /embedding_pca_data | GET request
